日期,付费金额,uid
2021/2/18 15:06,680,6228018
2021/2/18 15:05,30,6490120
2021/2/18 15:02,150,6755272
2021/2/18 14:59,300,6773583
2021/2/18 14:58,150,6773583
2021/2/18 14:58,1280,5612439
2021/2/18 14:52,60,6774218
2021/2/18 14:51,30,6768628
2021/2/18 14:50,60,6774218
2021/2/18 14:45,300,6682994
2021/2/18 14:44,60,6686046
2021/2/18 14:43,680,6686046
2021/2/18 14:41,30,6657315
2021/2/18 14:38,300,5025578
2021/2/18 14:30,30,6777124
2021/2/18 14:25,300,5025578
2021/2/18 14:24,680,5687315
2021/2/18 14:22,680,2219474
2021/2/18 14:21,680,6781731
2021/2/18 14:16,1280,6579182
2021/2/18 14:12,30,6687525
2021/2/18 14:12,30,6630098
2021/2/18 14:11,300,5025578
2021/2/18 14:08,60,6465680
2021/2/18 14:08,60,6465680
2021/2/18 14:05,680,6652255
2021/2/18 14:03,60,6757182
2021/2/18 14:01,300,2326242
2021/2/18 14:00,680,6465931
2021/2/18 13:58,300,6781731
2021/2/18 13:52,1980,6465931
2021/2/18 13:51,680,6742585
2021/2/18 13:50,60,6613478
2021/2/18 13:50,300,6778173
2021/2/18 13:48,30,6637741
2021/2/18 13:44,30,6563498
2021/2/18 13:38,60,6660654
2021/2/18 13:37,30,6777337
2021/2/18 13:33,30,6672241
2021/2/18 13:28,300,6728807
2021/2/18 13:27,60,5516758
2021/2/18 13:26,60,5516758
2021/2/18 13:26,60,6741752
2021/2/18 13:24,60,5516758
2021/2/18 13:22,60,6704957
2021/2/18 13:22,60,6704957
2021/2/18 13:22,3280,5992729
2021/2/18 13:19,3280,6465931
2021/2/18 13:13,680,6774218
2021/2/18 13:11,680,6630098
2021/2/18 13:10,3280,6755327
2021/2/18 13:09,60,6770695
2021/2/18 13:05,300,6767183
2021/2/18 13:05,680,2733092
2021/2/18 13:04,680,6774218
2021/2/18 13:04,30,6767183
2021/2/18 13:03,150,6767183
2021/2/18 13:03,60,6720728
2021/2/18 13:03,300,6768650
2021/2/18 13:03,30,6651458
2021/2/18 13:02,150,6651458
2021/2/18 13:01,680,6768650
2021/2/18 12:59,150,3022932
2021/2/18 12:48,680,6364001
2021/2/18 12:48,300,6776792
2021/2/18 12:47,30,5061903
2021/2/18 12:43,680,6400097
2021/2/18 12:41,30,2267812
2021/2/18 12:40,300,5351887
2021/2/18 12:39,300,6326862
2021/2/18 12:38,680,6488837
2021/2/18 12:33,60,6685015
2021/2/18 12:32,30,6714525
2021/2/18 12:32,1280,6488837
2021/2/18 12:23,30,6775009
2021/2/18 12:21,1280,6059304
