,label,counts
935,对策,33
4064,若干,33
307,几十万,33
7315,贪污受贿,33
16039,参将,33
3955,突围,33
10896,解脱,33
3220,稳定,33
2517,歼灭,33
6177,诡计,33
1059,没人管,33
7105,执著,33
3916,极点,33
7229,陷阱,33
1747,热闹,33
6211,遗憾,33
11866,张玉,33
1007,帮忙,33
8031,年头,33
2928,展开,33
487,复仇,33
3096,想干什么,32
44,资料,32
2040,逻辑,32
342,能干,32
3372,还给,32
32716,李时珍,32
62,对话,32
8887,追究,32
5216,得以,32
715,心思,32
7272,罪状,32
321,多人,32
3438,大爷,32
6879,书呆子,32
3646,火铳,32
6017,永不,32
12144,放在眼里,32
6354,疯子,32
24481,小王子,32
185,年龄,32
7674,无限,32
5653,侍卫,32
6464,废除,32
3851,表达,32
1526,几万人,32
148,心情,32
1362,轻易,32
6836,糊涂,32
5838,阵势,32
564,微笑,32
28944,殷士儋,32
5503,居庸关,32
2266,掌控,32
4509,一眼,32
7325,大权,32
4089,发射,32
15909,方案,32
2571,即位,32
19699,德胜门,32
95,统统,32
3175,不服,32
19916,没过多久,32
15278,朝贡,32
4602,极强,32
2459,上报,32
7077,入宫,32
6648,黑社会,32
4673,诏书,32
6596,档次,31
25802,张忠,31
16536,搞笑,31
279,黄河,31
5309,千里,31
5621,一代,31
5610,增加,31
5179,只求,31
3336,灭亡,31
13253,破绽,31
34110,四维,31
16134,上台,31
11172,齐泰,31
5469,听从,31
6613,追求,31
10941,无畏,31
6367,伯颜帖,31
6637,靖难,31
12872,推举,31
2912,静静地,31
20988,打屁股,31
7122,诚意,31
674,官吏,31
1440,地形,31
9129,挺进,31
29951,罗龙文,31
16956,杨溥,31
7785,继承人,31
4533,狠狠,31
7780,随意,31
33,基础,31
24027,军饷,31
6107,同一个,31
30068,此前,31
6469,小时候,31
4391,老天爷,31
23340,海军,31
11347,风波,31
9810,卓越,31
8906,信心,31
11319,做生意,31
2429,十九年,31
8439,配合,31
393,大哥,31
